# Consolidated Banking Risk Management Dataset - Synthetic Data Generated by AI for Demonstration Purposes
# This dataset combines loan portfolio data, historical performance metrics, and economic scenario projections
# for use in stress testing, liquidity risk analysis, and capital planning demonstrations. All data is artificial and AI-generated.
# 
# Institution: Heritage Regional Bank (Fictitious)
# Dataset Purpose: Regulatory stress testing (CCAR/DFAST), liquidity risk management, and capital planning
# Time Period: 2020-2026 (Historical and Projected)
# Risk Framework: Basel III/IV compliance metrics included
# 
# Data Dictionary:
# reporting_date: Quarter-end reporting date (YYYY-MM-DD)
# loan_id: Unique loan identifier (HRB######)
# loan_type: Type of loan (Consumer, Commercial Real Estate, etc.)
# origination_date: Date loan was originated
# maturity_date: Final maturity date of loan
# original_amount: Original principal amount ($)
# current_balance: Outstanding principal balance ($)
# interest_rate: Current interest rate (decimal)
# risk_rating: Internal risk rating (1=Highest Quality, 10=Default)
# industry_code: Borrower industry classification
# geographic_region: Geographic concentration (Northeast, Southeast, etc.)
# collateral_type: Type of collateral securing loan
# ltv_ratio: Loan-to-value ratio (decimal)
# debt_service_coverage: Debt service coverage ratio
# days_past_due: Number of days payment is past due
# charge_off_flag: Binary flag for charge-offs (1=charged off)
# probability_of_default: Modeled 12-month probability of default
# loss_given_default: Estimated loss given default (%)
# exposure_at_default: Exposure amount at time of default ($)
# expected_credit_loss: 12-month expected credit loss ($)
# stress_pd_baseline: Baseline scenario PD (%)
# stress_pd_adverse: Adverse scenario PD (%)
# stress_pd_severely_adverse: Severely adverse scenario PD (%)
# total_assets: Bank total assets ($)
# total_loans: Total loan portfolio ($)
# total_deposits: Total customer deposits ($)
# tier1_capital_ratio: Tier 1 capital ratio (%)
# leverage_ratio: Leverage ratio (%)
# liquidity_coverage_ratio: Liquidity coverage ratio (%)
# net_interest_income: Quarterly net interest income ($)
# provision_credit_losses: Quarterly provision for credit losses ($)
# gdp_growth_rate: Economic scenario GDP growth rate (%)
# unemployment_rate: Economic scenario unemployment rate (%)
# home_price_index: Economic scenario home price index (base=1.0)
# interest_rate_10yr: Economic scenario 10-year treasury rate (%)
# credit_spread: Economic scenario credit spread (%)
# scenario_type: Economic scenario classification

reporting_date,loan_id,loan_type,origination_date,maturity_date,original_amount,current_balance,interest_rate,risk_rating,industry_code,geographic_region,collateral_type,ltv_ratio,debt_service_coverage,days_past_due,charge_off_flag,probability_of_default,loss_given_default,exposure_at_default,expected_credit_loss,stress_pd_baseline,stress_pd_adverse,stress_pd_severely_adverse,total_assets,total_loans,total_deposits,tier1_capital_ratio,leverage_ratio,liquidity_coverage_ratio,net_interest_income,provision_credit_losses,gdp_growth_rate,unemployment_rate,home_price_index,interest_rate_10yr,credit_spread,scenario_type
2024-01-01,HRB000001,Consumer,2023-11-02,2024-11-02,85545.13,10170.85,0.1183,2,Retail,Southeast,Other,0.0,0.0,0,0,0.015,0.25,10170.85,38.14,0.018,0.045,0.125,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,0.025,0.038,1.0,0.045,0.015,Baseline
2024-01-01,HRB000002,Consumer,2023-11-13,2033-11-13,57121.32,29658.42,0.0484,6,Technology,Northeast,Other,0.0,0.0,0,0,0.065,0.35,29658.42,674.43,0.078,0.158,0.395,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,0.025,0.038,1.0,0.045,0.015,Baseline
2024-01-01,HRB000003,Commercial & Industrial,2020-05-11,2025-05-11,4933852.62,3704715.74,0.101,2,Energy,West Coast,Unsecured,0.0,2.4,0,0,0.018,0.45,3704715.74,29618.19,0.022,0.054,0.145,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,0.025,0.038,1.0,0.045,0.015,Baseline
2024-01-01,HRB000004,Consumer,2021-03-31,2026-03-31,391871.66,384273.75,0.1186,5,Manufacturing,Northeast,Other,0.0,0.0,30,0,0.055,0.30,384273.75,6334.51,0.066,0.132,0.330,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,0.025,0.038,1.0,0.045,0.015,Baseline
2024-01-01,HRB000005,Commercial Real Estate,2021-04-04,2031-04-04,567320.51,341688.85,0.0947,1,Retail,Midwest,Multifamily,0.616,1.58,0,0,0.008,0.25,341688.85,683.38,0.010,0.024,0.065,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,0.025,0.038,1.0,0.045,0.015,Baseline
2024-01-01,HRB000006,Residential Real Estate,2023-11-08,2028-11-08,64881.79,34417.69,0.1166,5,Retail,Southwest,Residential Property,0.559,0.0,0,0,0.058,0.20,34417.69,399.64,0.070,0.140,0.350,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,0.025,0.038,1.0,0.045,0.015,Baseline
2024-01-01,HRB000007,Commercial Real Estate,2021-10-24,2026-10-24,5197339.67,3181737.37,0.0989,7,Agriculture,Southeast,Multifamily,0.595,1.82,0,0,0.085,0.35,3181737.37,94633.51,0.102,0.204,0.510,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,0.025,0.038,1.0,0.045,0.015,Baseline
2024-01-01,HRB000008,Commercial & Industrial,2022-09-24,2025-09-24,171488.12,19574.20,0.1144,3,Agriculture,Midwest,Equipment,0.0,1.85,0,0,0.025,0.40,19574.20,195.74,0.030,0.075,0.200,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,0.025,0.038,1.0,0.045,0.015,Baseline
2024-01-01,HRB000009,Commercial Real Estate,2023-05-23,2038-05-23,335648.86,304078.70,0.0931,1,Retail,West Coast,Office,0.647,1.67,0,0,0.009,0.25,304078.70,683.68,0.011,0.027,0.073,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,0.025,0.038,1.0,0.045,0.015,Baseline
2024-01-01,HRB000010,Commercial Real Estate,2020-04-22,2021-04-22,371702.92,190574.89,0.0415,2,Technology,Southeast,Multifamily,0.752,0.95,0,0,0.015,0.25,190574.89,715.66,0.018,0.045,0.123,84283339872.31,52480298695.47,74149129276.70,0.1214,0.1057,1.2016,128616672.57,55835360.28,0.025,0.038,1.0,0.045,0.015,Baseline
